"COUNTRY","PRODUCTION_INDEX","TIME_PERIOD","OBS_VALUE"
"Spain","Industrial Production","1965-M08","25.83169971599747"
"Spain","Industrial Production","1965-M09","30.74699589265639"
"Spain","Industrial Production","1965-M10","31.63855319438927"
"Spain","Industrial Production","1965-M11","32.65915168453086"
"Spain","Industrial Production","1965-M12","33.01108219837279"
"Spain","Industrial Production","1966-M01","32.89377202709213"
"Spain","Industrial Production","1966-M02","33.55070898626373"
"Spain","Industrial Production","1966-M03","36.48346326827979"
"Spain","Industrial Production","1966-M04","34.8059278189666"
"Spain","Industrial Production","1966-M05","35.5919059665469"
"Spain","Industrial Production","1966-M06","35.22824443557692"
"Spain","Industrial Production","1966-M07","33.12839236965343"
"Spain","Industrial Production","1966-M08","29.42139095718511"
"Spain","Industrial Production","1966-M09","35.65056105218722"
"Spain","Industrial Production","1966-M10","36.60077343956042"
"Spain","Industrial Production","1966-M11","36.60077343956042"
"Spain","Industrial Production","1966-M12","37.97330244354394"
"Spain","Industrial Production","1967-M01","35.88518139474852"
"Spain","Industrial Production","1967-M02","34.62996256204563"
"Spain","Industrial Production","1967-M03","36.84712479924977"
"Spain","Industrial Production","1967-M04","37.56271684406169"
"Spain","Industrial Production","1967-M05","37.02309005617073"
"Spain","Industrial Production","1967-M06","37.621371929702"
"Spain","Industrial Production","1967-M07","35.16958934993658"
"Spain","Industrial Production","1967-M08","30.07832791635669"
"Spain","Industrial Production","1967-M09","35.5215198637785"
"Spain","Industrial Production","1967-M10","36.00249156602913"
"Spain","Industrial Production","1967-M11","37.19905531309168"
"Spain","Industrial Production","1967-M12","37.25771039873201"
"Spain","Industrial Production","1968-M01","37.56271684406168"
"Spain","Industrial Production","1968-M02","38.21965380323328"
"Spain","Industrial Production","1968-M03","38.87659076240487"
"Spain","Industrial Production","1968-M04","38.16099871759296"
"Spain","Industrial Production","1968-M05","40.13180959510776"
"Spain","Industrial Production","1968-M06","38.81793567676456"
"Spain","Industrial Production","1968-M07","37.79733718662297"
"Spain","Industrial Production","1968-M08","31.7558633656699"
"Spain","Industrial Production","1968-M09","38.64197041984361"
"Spain","Industrial Production","1968-M10","41.21106317088968"
"Spain","Industrial Production","1968-M11","41.75068995878063"
"Spain","Industrial Production","1968-M12","43.00590879148351"
"Spain","Industrial Production","1969-M01","43.60419066501479"
"Spain","Industrial Production","1969-M02","42.52493708923286"
"Spain","Industrial Production","1969-M03","46.94753054651307"
"Spain","Industrial Production","1969-M04","45.75096679945053"
"Spain","Industrial Production","1969-M05","46.88887546087275"
"Spain","Industrial Production","1969-M06","45.80962188509084"
"Spain","Industrial Production","1969-M07","43.78015592193571"
"Spain","Industrial Production","1969-M08","37.02309005617071"
"Spain","Industrial Production","1969-M09","45.80962188509082"
"Spain","Industrial Production","1969-M10","48.1440942935756"
"Spain","Industrial Production","1969-M11","46.4079037586221"
"Spain","Industrial Production","1969-M12","47.00618563215338"
"Spain","Industrial Production","1970-M01","47.96812903665464"
"Spain","Industrial Production","1970-M02","48.39044565326496"
"Spain","Industrial Production","1970-M03","47.72177767696532"
"Spain","Industrial Production","1970-M04","51.44051010656169"
"Spain","Industrial Production","1970-M05","48.98872752679624"
"Spain","Industrial Production","1970-M06","49.64566448596784"
"Spain","Industrial Production","1970-M07","48.39044565326497"
"Spain","Industrial Production","1970-M08","38.51292923143488"
"Spain","Industrial Production","1970-M09","47.90947395101433"
"Spain","Industrial Production","1970-M10","49.64566448596784"
"Spain","Industrial Production","1970-M11","51.19415874687232"
"Spain","Industrial Production","1970-M12","49.22334786935752"
"Spain","Industrial Production","1971-M01","49.28200295499783"
"Spain","Industrial Production","1971-M02","50.1149051710904"
"Spain","Industrial Production","1971-M03","53.1649696243871"
"Spain","Industrial Production","1971-M04","51.61647536348262"
"Spain","Industrial Production","1971-M05","52.33206740829454"
"Spain","Industrial Production","1971-M06","53.23535572715548"
"Spain","Industrial Production","1971-M07","52.21475723701388"
"Spain","Industrial Production","1971-M08","41.69203487314028"
"Spain","Industrial Production","1971-M09","51.67513044912294"
"Spain","Industrial Production","1971-M10","52.93034928182582"
"Spain","Industrial Production","1971-M11","54.66653981677933"
"Spain","Industrial Production","1971-M12","54.43191947421805"
"Spain","Industrial Production","1972-M01","56.40273035173285"
"Spain","Industrial Production","1972-M02","58.00987969827765"
"Spain","Industrial Production","1972-M03","61.65822602510563"
"Spain","Industrial Production","1972-M04","59.26509853098054"
"Spain","Industrial Production","1972-M05","61.18898533998307"
"Spain","Industrial Production","1972-M06","63.04248604621722"
"Spain","Industrial Production","1972-M07","58.43219631488797"
"Spain","Industrial Production","1972-M08","46.94753054651306"
"Spain","Industrial Production","1972-M09","61.48226076818464"
"Spain","Industrial Production","1972-M10","62.67882451524719"
"Spain","Industrial Production","1972-M11","65.01329692373198"
"Spain","Industrial Production","1972-M12","63.64076791974844"
"Spain","Industrial Production","1973-M01","65.96350931110515"
"Spain","Industrial Production","1973-M02","64.83733166681101"
"Spain","Industrial Production","1973-M03","69.02530478152993"
"Spain","Industrial Production","1973-M04","65.4356135403423"
"Spain","Industrial Production","1973-M05","69.31858020973156"
"Spain","Industrial Production","1973-M06","70.03417225454348"
"Spain","Industrial Production","1973-M07","64.64963539276203"
"Spain","Industrial Production","1973-M08","51.37012400379332"
"Spain","Industrial Production","1973-M09","66.56179118463652"
"Spain","Industrial Production","1973-M10","69.79955191198226"
"Spain","Industrial Production","1973-M11","71.53574244693576"
"Spain","Industrial Production","1973-M12","68.29798171959005"
"Spain","Industrial Production","1974-M01","75.41870911632506"
"Spain","Industrial Production","1974-M02","72.84961636527897"
"Spain","Industrial Production","1974-M03","75.53601928760568"
"Spain","Industrial Production","1974-M04","72.48595483430901"
"Spain","Industrial Production","1974-M05","74.58580690023251"
"Spain","Industrial Production","1974-M06","74.28080045490281"
"Spain","Industrial Production","1974-M07","69.02530478153"
"Spain","Industrial Production","1974-M08","58.43219631488801"
"Spain","Industrial Production","1974-M09","71.2307360016061"
"Spain","Industrial Production","1974-M10","74.58580690023248"
"Spain","Industrial Production","1974-M11","70.80841938499578"
"Spain","Industrial Production","1974-M12","67.04276288688714"
"Spain","Industrial Production","1975-M01","66.85506661283813"
"Spain","Industrial Production","1975-M02","68.21154622527253"
"Spain","Industrial Production","1975-M03","71.60274525635852"
"Spain","Industrial Production","1975-M04","70.73072264836498"
"Spain","Industrial Production","1975-M05","70.14937424303596"
"Spain","Industrial Production","1975-M06","69.6649172385951"
"Spain","Industrial Production","1975-M07","66.46750100928545"
"Spain","Industrial Production","1975-M08","46.41098102543401"
"Spain","Industrial Production","1975-M09","71.89341945902304"
"Spain","Industrial Production","1975-M10","77.4162293096488"
"Spain","Industrial Production","1975-M11","72.66855066612841"
"Spain","Industrial Production","1975-M12","71.0213968510295"
"Spain","Industrial Production","1976-M01","67.04884941461448"
"Spain","Industrial Production","1976-M02","69.47113443681876"
"Spain","Industrial Production","1976-M03","74.21881308033915"
"Spain","Industrial Production","1976-M04","73.44368187323378"
"Spain","Industrial Production","1976-M05","74.89705288655635"
"Spain","Industrial Production","1976-M06","73.24989907145743"
"Spain","Industrial Production","1976-M07","74.12192167945098"
"Spain","Industrial Production","1976-M08","48.54259184497378"
"Spain","Industrial Production","1976-M09","76.54420670165526"
"Spain","Industrial Production","1976-M10","78.094469115866"
"Spain","Industrial Production","1976-M11","79.45094872830039"
"Spain","Industrial Production","1976-M12","76.44731530076708"
"Spain","Industrial Production","1977-M01","73.54057327412195"
"Spain","Industrial Production","1977-M02","76.93177230520794"
"Spain","Industrial Production","1977-M03","84.10173597093261"
"Spain","Industrial Production","1977-M04","76.93177230520794"
"Spain","Industrial Production","1977-M05","81.0981025433993"
"Spain","Industrial Production","1977-M06","77.12555510698428"
"Spain","Industrial Production","1977-M07","71.50585385547035"
"Spain","Industrial Production","1977-M08","49.31772305207915"
"Spain","Industrial Production","1977-M09","80.03229713362942"
"Spain","Industrial Production","1977-M10","80.03229713362942"
"Spain","Industrial Production","1977-M11","79.54784012918856"
"Spain","Industrial Production","1977-M12","80.51675413807028"
"Spain","Industrial Production","1978-M01","77.70690351231331"
"Spain","Industrial Production","1978-M02","77.99757771497782"
"Spain","Industrial Production","1978-M03","79.93540573274125"
"Spain","Industrial Production","1978-M04","78.67581752119502"
"Spain","Industrial Production","1978-M05","79.45094872830039"
"Spain","Industrial Production","1978-M06","82.4545821558337"
"Spain","Industrial Production","1978-M07","74.0250302785628"
"Spain","Industrial Production","1978-M08","50.57731126362537"
"Spain","Industrial Production","1978-M09","81.7763423496165"
"Spain","Industrial Production","1978-M10","84.68308437626164"
"Spain","Industrial Production","1978-M11","85.36132418247884"
"Spain","Industrial Production","1978-M12","78.77270892208319"
"Spain","Industrial Production","1979-M01","80.51675413807028"
"Spain","Industrial Production","1979-M02","75.3815098909972"
"Spain","Industrial Production","1979-M03","82.26079935405736"
"Spain","Industrial Production","1979-M04","75.67218409366172"
"Spain","Industrial Production","1979-M05","85.16754138070249"
"Spain","Industrial Production","1979-M06","81.97012515139284"
"Spain","Industrial Production","1979-M07","78.48203471941868"
"Spain","Industrial Production","1979-M08","51.54622527250708"
"Spain","Industrial Production","1979-M09","79.93540573274125"
"Spain","Industrial Production","1979-M10","84.97375857892615"
"Spain","Industrial Production","1979-M11","86.62091239402506"
"Spain","Industrial Production","1979-M12","76.7379895034316"
"Spain","Industrial Production","1980-M01","82.26079935405736"
"Spain","Industrial Production","1980-M02","82.06701655228101"
"Spain","Industrial Production","1980-M03","83.1328219620509"
"Spain","Industrial Production","1980-M04","79.16027452563588"
"Spain","Industrial Production","1980-M05","83.32660476382724"
"Spain","Industrial Production","1980-M06","79.74162293096491"
"Spain","Industrial Production","1980-M07","79.45094872830039"
"Spain","Industrial Production","1980-M08","47.76746063786841"
"Spain","Industrial Production","1980-M09","81.19499394428747"
"Spain","Industrial Production","1980-M10","88.1711748082358"
"Spain","Industrial Production","1980-M11","84.10173597093261"
"Spain","Industrial Production","1980-M12","79.74162293096491"
"Spain","Industrial Production","1981-M01","77.99757771497782"
"Spain","Industrial Production","1981-M02","79.45094872830039"
"Spain","Industrial Production","1981-M03","83.71417036737993"
"Spain","Industrial Production","1981-M04","79.06338312474771"
"Spain","Industrial Production","1981-M05","81.7763423496165"
"Spain","Industrial Production","1981-M06","81.7763423496165"
"Spain","Industrial Production","1981-M07","83.52038756560358"
"Spain","Industrial Production","1981-M08","46.02341542188132"
"Spain","Industrial Production","1981-M09","79.74162293096491"
"Spain","Industrial Production","1981-M10","85.07064997981432"
"Spain","Industrial Production","1981-M11","83.32660476382724"
"Spain","Industrial Production","1981-M12","79.45094872830039"
"Spain","Industrial Production","1982-M01","75.47840129188537"
"Spain","Industrial Production","1982-M02","77.4162293096488"
"Spain","Industrial Production","1982-M03","85.16754138070249"
"Spain","Industrial Production","1982-M04","78.094469115866"
"Spain","Industrial Production","1982-M05","82.06701655228101"
"Spain","Industrial Production","1982-M06","79.64473153007673"
"Spain","Industrial Production","1982-M07","80.4198627371821"
"Spain","Industrial Production","1982-M08","45.34517561566413"
"Spain","Industrial Production","1982-M09","83.1328219620509"
"Spain","Industrial Production","1982-M10","81.0981025433993"
"Spain","Industrial Production","1982-M11","83.71417036737993"
"Spain","Industrial Production","1982-M12","78.77270892208319"
"Spain","Industrial Production","1983-M01","79.74162293096491"
"Spain","Industrial Production","1983-M02","79.45094872830039"
"Spain","Industrial Production","1983-M03","86.52402099313689"
"Spain","Industrial Production","1983-M04","80.61364553895845"
"Spain","Industrial Production","1983-M05","85.16754138070249"
"Spain","Industrial Production","1983-M06","83.03593056116273"
"Spain","Industrial Production","1983-M07","78.96649172385954"
"Spain","Industrial Production","1983-M08","47.67056923698024"
"Spain","Industrial Production","1983-M09","83.71417036737993"
"Spain","Industrial Production","1983-M10","82.93903916027456"
"Spain","Industrial Production","1983-M11","84.77997577714981"
"Spain","Industrial Production","1983-M12","82.64836495761004"
"Spain","Industrial Production","1984-M01","82.55147355672187"
"Spain","Industrial Production","1984-M02","83.22971336293907"
"Spain","Industrial Production","1984-M03","85.74888978603152"
"Spain","Industrial Production","1984-M04","77.99757771497782"
"Spain","Industrial Production","1984-M05","85.65199838514335"
"Spain","Industrial Production","1984-M06","81.67945094872833"
"Spain","Industrial Production","1984-M07","81.97012515139284"
"Spain","Industrial Production","1984-M08","50.86798546628989"
"Spain","Industrial Production","1984-M09","81.48566814695199"
"Spain","Industrial Production","1984-M10","87.4929350020186"
"Spain","Industrial Production","1984-M11","86.13645538958421"
"Spain","Industrial Production","1984-M12","78.77270892208319"
"Spain","Industrial Production","1985-M01","84.58619297537347"
"Spain","Industrial Production","1985-M02","80.71053693984662"
"Spain","Industrial Production","1985-M03","85.07064997981432"
"Spain","Industrial Production","1985-M04","81.00121114251113"
"Spain","Industrial Production","1985-M05","86.52402099313689"
"Spain","Industrial Production","1985-M06","79.93540573274125"
"Spain","Industrial Production","1985-M07","85.36132418247884"
"Spain","Industrial Production","1985-M08","49.99596285829634"
"Spain","Industrial Production","1985-M09","84.19862737182078"
"Spain","Industrial Production","1985-M10","94.37222446507876"
"Spain","Industrial Production","1985-M11","88.65563181267666"
"Spain","Industrial Production","1985-M12","82.26079935405736"
"Spain","Industrial Production","1986-M01","84.29551877270895"
"Spain","Industrial Production","1986-M02","84.00484457004444"
"Spain","Industrial Production","1986-M03","83.61727896649175"
"Spain","Industrial Production","1986-M04","90.2058942268874"
"Spain","Industrial Production","1986-M05","87.10536939846592"
"Spain","Industrial Production","1986-M06","88.26806620912397"
"Spain","Industrial Production","1986-M07","89.33387161889386"
"Spain","Industrial Production","1986-M08","48.05813484053292"
"Spain","Industrial Production","1986-M09","87.88050060557129"
"Spain","Industrial Production","1986-M10","95.72870407751316"
"Spain","Industrial Production","1986-M11","90.59345983044008"
"Spain","Industrial Production","1986-M12","84.00484457004444"
"Spain","Industrial Production","1987-M01","83.61727896649175"
"Spain","Industrial Production","1987-M02","87.68671780379495"
"Spain","Industrial Production","1987-M03","92.24061364553899"
"Spain","Industrial Production","1987-M04","87.20226079935409"
"Spain","Industrial Production","1987-M05","91.85304804198631"
"Spain","Industrial Production","1987-M06","92.82196205086802"
"Spain","Industrial Production","1987-M07","98.24788050060561"
"Spain","Industrial Production","1987-M08","50.57731126362537"
"Spain","Industrial Production","1987-M09","93.79087605974973"
"Spain","Industrial Production","1987-M10","97.37585789261207"
"Spain","Industrial Production","1987-M11","96.40694388373035"
"Spain","Industrial Production","1987-M12","87.88050060557129"
"Spain","Industrial Production","1988-M01","86.13645538958421"
"Spain","Industrial Production","1988-M02","92.14372224465082"
"Spain","Industrial Production","1988-M03","98.73233750504646"
"Spain","Industrial Production","1988-M04","90.69035123132825"
"Spain","Industrial Production","1988-M05","96.6007266855067"
"Spain","Industrial Production","1988-M06","95.72870407751316"
"Spain","Industrial Production","1988-M07","95.05046427129596"
"Spain","Industrial Production","1988-M08","53.77472749293502"
"Spain","Industrial Production","1988-M09","96.21316108195401"
"Spain","Industrial Production","1988-M10","96.31005248284218"
"Spain","Industrial Production","1988-M11","100.9608397254744"
"Spain","Industrial Production","1988-M12","90.2058942268874"
"Spain","Industrial Production","1989-M01","96.11626968106584"
"Spain","Industrial Production","1989-M02","94.17844166330242"
"Spain","Industrial Production","1989-M03","98.73233750504646"
"Spain","Industrial Production","1989-M04","97.37585789261207"
"Spain","Industrial Production","1989-M05","99.89503431570452"
"Spain","Industrial Production","1989-M06","102.8017763423497"
"Spain","Industrial Production","1989-M07","99.79814291481635"
"Spain","Industrial Production","1989-M08","57.35970932579736"
"Spain","Industrial Production","1989-M09","100.185708518369"
"Spain","Industrial Production","1989-M10","102.414210738797"
"Spain","Industrial Production","1989-M11","103.8675817521195"
"Spain","Industrial Production","1989-M12","88.55874041178849"
"Spain","Industrial Production","1990-M01","100.185708518369"
"Spain","Industrial Production","1990-M02","94.27533306419059"
"Spain","Industrial Production","1990-M03","103.4800161485669"
"Spain","Industrial Production","1990-M04","91.65926524020996"
"Spain","Industrial Production","1990-M05","102.2204279370206"
"Spain","Industrial Production","1990-M06","102.2204279370206"
"Spain","Industrial Production","1990-M07","99.60436011304"
"Spain","Industrial Production","1990-M08","57.06903512313284"
"Spain","Industrial Production","1990-M09","97.76342349616475"
"Spain","Industrial Production","1990-M10","100.8639483245862"
"Spain","Industrial Production","1990-M11","104.1582559547841"
"Spain","Industrial Production","1990-M12","88.1711748082358"
